event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57984.229,17.74,0.01,F,z,AB,HSC,Subaru,2017arXiv171005848U
GW170817,57984.23125,17.87,0.06,F,i,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57984.23125,17.58,0.11,F,y,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57984.23125,17.78,0.07,F,z,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57984.309,18.80,0.07,F,g,AB,Tripol5,B&C,2017arXiv171005848U
GW170817,57984.309,18.19,0.06,F,i,AB,Tripol5,B&C,2017arXiv171005848U
GW170817,57984.309,18.26,0.04,F,r,AB,Tripol5,B&C,2017arXiv171005848U
GW170817,57984.357,18.69,0.05,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57984.358519,20.1,0.12,F,B,AB,,SSO,2017arXiv171005433T
GW170817,57984.358519,18.79,0.05,F,V,AB,,SSO,2017arXiv171005433T
GW170817,57984.361,18.07,0.13,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.365,18.34,0.11,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.368519,17.98,0.09,F,I,AB,,SSO,2017arXiv171005433T
GW170817,57984.368519,18.34,0.05,F,R,AB,,SSO,2017arXiv171005433T
GW170817,57984.369,19.28,0.17,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.37936343,17.96,0.07,F,i,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57984.39232639,18.18,0.08,F,i,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57984.45625000,18.46,0.17,F,r,AB,zadko,zadko,2017arXiv171005846A
GW170817,57984.600819,21.97,,T,M2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.606219,21.79,,T,W1,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.627719,21.98,,T,W2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.699,17.52,0.04,F,H,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57984.699,17.69,0.04,F,J,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57984.699,17.61,0.04,F,Ks,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57984.717044,18.4,0.2,F,W,AB,,MASTER,2017arXiv171005461L
GW170817,57984.718519,20.45,0.09,F,B,AB,,SAAO,2017arXiv171005433T
GW170817,57984.718519,18.26,0.12,F,I,AB,,SAAO,2017arXiv171005433T
GW170817,57984.718519,18.59,0.05,F,R,AB,,SAAO,2017arXiv171005433T
GW170817,57984.718519,19.25,0.05,F,V,AB,,SAAO,2017arXiv171005433T
GW170817,57984.738,18.92,0.10,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.741,18.90,0.11,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.745,18.33,0.12,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.748,18.26,0.15,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.7494167,18.0,0.3,F,R,AB,,MASTER,2017arXiv171005461L
GW170817,57984.751,19.06,0.07,F,V,Vega,Sinistro,LCO 1m,2017arXiv171005843A
