time,band,flux,fluxerr,zp,zpsys,mag
19.300000000000004,desr,47862733504.288025,218774.78003686303,50.0,ab,0.617068485696187
19.4,desr,47578436391.39043,218124.36477800968,50.0,ab,0.6235368175843483
19.5,desr,47294563571.20042,217472.61111785614,50.0,ab,0.6300341754911294
19.6,desr,47010930587.80513,216819.52020143016,50.0,ab,0.6365651105172176
19.700000000000003,desr,46727585294.37662,216165.09316276447,50.0,ab,0.6431288837449038
19.800000000000004,desr,46444386309.1289,215509.33112480197,50.0,ab,0.6497291591937326
19.9,desr,46161306924.64456,214852.23519929536,50.0,ab,0.6563669906949663
20.0,desr,45879041416.482574,214193.8064867055,50.0,ab,0.6630263927477884
20.1,desr,45596601772.57821,213534.0460760966,50.0,ab,0.6697310391614586
20.200000000000003,desr,45314863659.87664,212872.95504502827,50.0,ab,0.6764605368555294
20.300000000000004,desr,45033027898.08803,212210.5344594437,50.0,ab,0.6832343591917329
20.4,desr,44751684361.08599,211546.7853735556,50.0,ab,0.6900387662273673
20.5,desr,44471318751.47013,210881.70882972813,50.0,ab,0.6968622105010169
20.6,desr,44190088644.86993,210215.30585835606,50.0,ab,0.7037500491136051
20.700000000000003,desr,43909875801.3233,209547.5774777398,50.0,ab,0.7106567092268286
20.800000000000004,desr,43629658022.32977,208877.17553372236,50.0,ab,0.7176077087066197
20.9,desr,43348517403.33494,208203.1311428887,50.0,ab,0.7246266099478227
21.0,desr,43067068222.14006,207526.01962912956,50.0,ab,0.731698960244433
21.1,desr,42785600099.31134,206846.42369452398,50.0,ab,0.7388181618334855
21.200000000000003,desr,42503741395.85797,206164.93361885095,50.0,ab,0.7459943296328007
21.300000000000004,desr,42222983803.05234,205482.14744768004,50.0,ab,0.7531899293278279
21.4,desr,41942621268.56754,204798.6711680461,50.0,ab,0.7604233088010837
21.5,desr,41662824442.84161,204115.11887063974,50.0,ab,0.7676904592891454
21.6,desr,41384959188.169716,203432.11289737973,50.0,ab,0.7749559028597979
21.700000000000003,desr,41107911688.44602,202750.283973158,50.0,ab,0.7822486938275865
21.800000000000004,desr,40832509525.7076,202070.27132048755,50.0,ab,0.7895470508644173
21.9,desr,40558874304.862434,201392.72275571013,50.0,ab,0.7968474989348202
22.0,desr,40287853254.74782,200718.29476535745,50.0,ab,0.8041269146271723
22.1,desr,40019113120.61671,200047.65256120235,50.0,ab,0.8113935814094226
22.200000000000003,desr,39751969623.79205,199379.5735872688,50.0,ab,0.8186656013115687
22.300000000000004,desr,39486800888.980316,198712.48824793033,50.0,ab,0.8259323564269536
22.4,desr,39222486495.25709,198046.54927791713,50.0,ab,0.8332244256345511
22.5,desr,38959740005.22526,197381.91145486364,50.0,ab,0.8405221060322852
22.6,desr,38698107156.398796,196718.73162425112,50.0,ab,0.8478379238528682
22.700000000000003,desr,38438391661.40523,196057.16872341261,50.0,ab,0.8551492119133179
22.800000000000004,desr,38180242264.646225,195397.38380451806,50.0,ab,0.862465531522087
22.9,desr,37923642868.826225,194739.5400564487,50.0,ab,0.869787110687664
23.0,desr,37667989740.078896,194083.80282547162,50.0,ab,0.8771311223584917
23.1,desr,37414967167.97353,193430.33963461628,50.0,ab,0.8844488098442156
23.200000000000003,desr,37163645331.31898,192779.32020165265,50.0,ab,0.8917664640853182
23.300000000000004,desr,36914285689.72488,192130.91645556744,50.0,ab,0.8990760584477648
23.4,desr,36666269457.86026,191485.30255142954,50.0,ab,0.9063954167096107
23.5,desr,36420671128.040474,190842.65488353185,50.0,ab,0.9136923701755215
23.6,desr,36177364486.24299,190202.63229143384,50.0,ab,0.9209699174720072
23.700000000000003,desr,35934905916.99837,189564.8353050482,50.0,ab,0.9282709506327933
23.800000000000004,desr,35694527255.487305,188929.35539929755,50.0,ab,0.9355581448442862
23.9,desr,35455412730.110825,188296.28520064577,50.0,ab,0.9428558677866512
24.0,desr,35218691119.0737,187665.71849492606,50.0,ab,0.9501292018855914
24.1,desr,34982862224.365654,187037.75023464172,50.0,ab,0.9574238818489107
24.200000000000003,desr,34749534851.18881,186412.4765457007,50.0,ab,0.9646897419851825
